epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.692929,0.538082,0.610145,0.670176
2,0.00100000,0.676968,0.550137,0.598015,0.680848
3,0.00100000,0.674836,0.583014,0.630153,0.701657
4,0.00100000,0.667304,0.610411,0.659929,0.717842
5,0.00100000,0.664002,0.604384,0.658428,0.723668
6,0.00100000,0.656704,0.649863,0.657441,0.704462
7,0.00100000,0.646093,0.651507,0.663553,0.699923
8,0.00100000,0.633442,0.638904,0.679319,0.716628
9,0.00100000,0.626119,0.643836,0.631202,0.677328
10,0.00100000,0.622317,0.661918,0.628678,0.681668
11,0.00050000,0.612771,0.638356,0.669196,0.711316
12,0.00050000,0.602560,0.614795,0.650462,0.686602
13,0.00050000,0.596929,0.644932,0.647724,0.695958
