epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.693382,0.606742,0.670260,0.685377
2,0.00100000,0.676231,0.616023,0.665784,0.689695
3,0.00100000,0.674315,0.616512,0.672227,0.699676
4,0.00100000,0.670497,0.619443,0.678994,0.699803
5,0.00100000,0.665868,0.623351,0.692241,0.695719
6,0.00100000,0.668121,0.591109,0.641073,0.685699
7,0.00100000,0.665576,0.590620,0.643633,0.682578
8,0.00050000,0.660861,0.614558,0.654294,0.688546
9,0.00050000,0.654902,0.594040,0.629261,0.676962
10,0.00050000,0.654722,0.594040,0.613779,0.659644
