epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.688124,0.585809,0.730625,0.798295
2,0.00100000,0.673937,0.586909,0.757128,0.820684
3,0.00100000,0.668186,0.587459,0.753274,0.816621
4,0.00100000,0.665942,0.588559,0.797827,0.837916
5,0.00100000,0.662590,0.614961,0.801912,0.849327
6,0.00100000,0.657027,0.599010,0.774963,0.821941
7,0.00100000,0.647090,0.577008,0.764877,0.815499
8,0.00050000,0.645679,0.570407,0.686994,0.758650
9,0.00050000,0.627655,0.602860,0.732032,0.798810
10,0.00050000,0.626382,0.602310,0.736403,0.796269
