epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.687817,0.578108,0.733647,0.795932
2,0.00100000,0.675524,0.578658,0.741886,0.810144
3,0.00100000,0.667844,0.585809,0.767188,0.833170
4,0.00100000,0.669431,0.606711,0.792266,0.850166
5,0.00100000,0.663457,0.605061,0.806886,0.858902
6,0.00100000,0.664109,0.617162,0.789179,0.837222
7,0.00100000,0.655011,0.564906,0.765439,0.810583
8,0.00050000,0.653553,0.531903,0.709102,0.776554
9,0.00050000,0.640814,0.579758,0.733411,0.794087
10,0.00050000,0.636209,0.590759,0.733573,0.792937
