epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.694747,0.529315,0.595775,0.662748
2,0.00100000,0.679165,0.558904,0.603826,0.688916
3,0.00100000,0.674255,0.556164,0.590878,0.679003
4,0.00100000,0.672737,0.579178,0.619088,0.698568
5,0.00100000,0.669625,0.576986,0.608309,0.697429
6,0.00100000,0.670619,0.572603,0.606938,0.696087
7,0.00050000,0.667740,0.592877,0.600830,0.695838
8,0.00050000,0.664392,0.601096,0.622758,0.702325
9,0.00050000,0.660248,0.602740,0.615818,0.697187
10,0.00050000,0.659215,0.606575,0.605229,0.687075
11,0.00025000,0.657224,0.624110,0.612747,0.683154
12,0.00025000,0.652050,0.628493,0.630338,0.699592
13,0.00025000,0.644364,0.633973,0.631024,0.695800
14,0.00025000,0.640788,0.623562,0.644117,0.702044
15,0.00025000,0.638284,0.621918,0.653967,0.708441
16,0.00025000,0.637300,0.637808,0.651385,0.706025
17,0.00025000,0.636071,0.635616,0.636997,0.689350
18,0.00012500,0.634956,0.627397,0.640449,0.689886
19,0.00012500,0.631179,0.608219,0.622774,0.664476
20,0.00012500,0.632216,0.621370,0.642838,0.686464
