epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.692637,0.538082,0.593032,0.665062
2,0.00100000,0.678639,0.554521,0.589764,0.676211
3,0.00100000,0.673783,0.562192,0.585108,0.670393
4,0.00100000,0.672228,0.595068,0.628444,0.701492
5,0.00100000,0.666894,0.653699,0.669613,0.717796
6,0.00100000,0.664330,0.632329,0.660185,0.709200
7,0.00100000,0.652132,0.614247,0.640661,0.687092
8,0.00100000,0.646614,0.639452,0.739631,0.751454
9,0.00100000,0.637842,0.621370,0.670895,0.712738
10,0.00100000,0.637372,0.635616,0.707277,0.723615
11,0.00050000,0.630240,0.629041,0.676671,0.696396
12,0.00050000,0.622813,0.620274,0.671631,0.693589
13,0.00050000,0.613039,0.620274,0.686520,0.702926
