epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00010000,0.702497,0.486027,0.528537,0.590692
2,0.00010000,0.699651,0.501918,0.517490,0.590529
3,0.00010000,0.695840,0.510685,0.514780,0.601302
4,0.00010000,0.695681,0.525479,0.531422,0.613881
5,0.00010000,0.693241,0.511233,0.542743,0.622982
6,0.00010000,0.692228,0.522740,0.566895,0.634490
7,0.00010000,0.690421,0.530959,0.606749,0.665432
8,0.00010000,0.689330,0.528219,0.606266,0.662945
9,0.00010000,0.684390,0.520548,0.608592,0.667785
10,0.00010000,0.682981,0.526027,0.608219,0.663626
11,0.00010000,0.680641,0.528219,0.609792,0.666223
12,0.00010000,0.679402,0.532055,0.602961,0.669348
13,0.00010000,0.678301,0.537534,0.597264,0.671691
14,0.00005000,0.678698,0.536986,0.600172,0.673968
15,0.00005000,0.677691,0.535342,0.600974,0.673556
16,0.00005000,0.679368,0.535890,0.602858,0.674855
