epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.686780,0.571142,0.733450,0.786486
2,0.00100000,0.672239,0.586172,0.726371,0.809569
3,0.00100000,0.668550,0.603707,0.776112,0.832371
4,0.00100000,0.666495,0.585671,0.743520,0.798924
5,0.00100000,0.661820,0.609218,0.795698,0.837018
6,0.00100000,0.659808,0.597194,0.771128,0.827596
7,0.00100000,0.652598,0.544088,0.718301,0.779803
8,0.00050000,0.648198,0.598697,0.761348,0.809594
9,0.00050000,0.634616,0.596192,0.695078,0.775378
10,0.00050000,0.630189,0.602705,0.719008,0.779884
11,0.00025000,0.623229,0.614729,0.733650,0.782032
