factor,key,value,seed,return_code,best_epoch,best_ndcg10,best_ndcg20,best_pair_acc,last_epoch,last_train_loss,run_dir,config_path
dropout_floor,regularization.min_dropout,0.22,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/dropout_floor/value_0.22/seed_42,outputs/ablation/ablation_20260319_174800/configs/dropout_floor__regularization.min_dropout=0.22__seed=42.yaml
dropout_floor,regularization.min_dropout,0.22,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/dropout_floor/value_0.22/seed_43,outputs/ablation/ablation_20260319_174800/configs/dropout_floor__regularization.min_dropout=0.22__seed=43.yaml
dropout_floor,regularization.min_dropout,0.22,44,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/dropout_floor/value_0.22/seed_44,outputs/ablation/ablation_20260319_174800/configs/dropout_floor__regularization.min_dropout=0.22__seed=44.yaml
dropout_floor,regularization.min_dropout,0.25,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/dropout_floor/value_0.25/seed_42,outputs/ablation/ablation_20260319_174800/configs/dropout_floor__regularization.min_dropout=0.25__seed=42.yaml
dropout_floor,regularization.min_dropout,0.25,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/dropout_floor/value_0.25/seed_43,outputs/ablation/ablation_20260319_174800/configs/dropout_floor__regularization.min_dropout=0.25__seed=43.yaml
dropout_floor,regularization.min_dropout,0.25,44,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/dropout_floor/value_0.25/seed_44,outputs/ablation/ablation_20260319_174800/configs/dropout_floor__regularization.min_dropout=0.25__seed=44.yaml
dropout_floor,regularization.min_dropout,0.28,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/dropout_floor/value_0.28/seed_42,outputs/ablation/ablation_20260319_174800/configs/dropout_floor__regularization.min_dropout=0.28__seed=42.yaml
dropout_floor,regularization.min_dropout,0.28,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/dropout_floor/value_0.28/seed_43,outputs/ablation/ablation_20260319_174800/configs/dropout_floor__regularization.min_dropout=0.28__seed=43.yaml
dropout_floor,regularization.min_dropout,0.28,44,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/dropout_floor/value_0.28/seed_44,outputs/ablation/ablation_20260319_174800/configs/dropout_floor__regularization.min_dropout=0.28__seed=44.yaml
weight_decay_floor,regularization.min_weight_decay,0.0003,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/weight_decay_floor/value_0.0003/seed_42,outputs/ablation/ablation_20260319_174800/configs/weight_decay_floor__regularization.min_weight_decay=0.0003__seed=42.yaml
weight_decay_floor,regularization.min_weight_decay,0.0003,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/weight_decay_floor/value_0.0003/seed_43,outputs/ablation/ablation_20260319_174800/configs/weight_decay_floor__regularization.min_weight_decay=0.0003__seed=43.yaml
weight_decay_floor,regularization.min_weight_decay,0.0003,44,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/weight_decay_floor/value_0.0003/seed_44,outputs/ablation/ablation_20260319_174800/configs/weight_decay_floor__regularization.min_weight_decay=0.0003__seed=44.yaml
weight_decay_floor,regularization.min_weight_decay,0.0005,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/weight_decay_floor/value_0.0005/seed_42,outputs/ablation/ablation_20260319_174800/configs/weight_decay_floor__regularization.min_weight_decay=0.0005__seed=42.yaml
weight_decay_floor,regularization.min_weight_decay,0.0005,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/weight_decay_floor/value_0.0005/seed_43,outputs/ablation/ablation_20260319_174800/configs/weight_decay_floor__regularization.min_weight_decay=0.0005__seed=43.yaml
weight_decay_floor,regularization.min_weight_decay,0.0005,44,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/weight_decay_floor/value_0.0005/seed_44,outputs/ablation/ablation_20260319_174800/configs/weight_decay_floor__regularization.min_weight_decay=0.0005__seed=44.yaml
weight_decay_floor,regularization.min_weight_decay,0.0008,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/weight_decay_floor/value_0.0008/seed_42,outputs/ablation/ablation_20260319_174800/configs/weight_decay_floor__regularization.min_weight_decay=0.0008__seed=42.yaml
weight_decay_floor,regularization.min_weight_decay,0.0008,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/weight_decay_floor/value_0.0008/seed_43,outputs/ablation/ablation_20260319_174800/configs/weight_decay_floor__regularization.min_weight_decay=0.0008__seed=43.yaml
weight_decay_floor,regularization.min_weight_decay,0.0008,44,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/weight_decay_floor/value_0.0008/seed_44,outputs/ablation/ablation_20260319_174800/configs/weight_decay_floor__regularization.min_weight_decay=0.0008__seed=44.yaml
early_stop_patience,early_stopping.patience,5,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_5/seed_42,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=5__seed=42.yaml
early_stop_patience,early_stopping.patience,5,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_5/seed_43,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=5__seed=43.yaml
early_stop_patience,early_stopping.patience,5,44,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_5/seed_44,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=5__seed=44.yaml
early_stop_patience,early_stopping.patience,6,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_6/seed_42,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=6__seed=42.yaml
early_stop_patience,early_stopping.patience,6,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_6/seed_43,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=6__seed=43.yaml
