epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.689239,0.604964,0.653747,0.695499
2,0.00120000,0.675827,0.599495,0.677896,0.689046
3,0.00120000,0.670864,0.599495,0.651335,0.676267
4,0.00120000,0.665948,0.619268,0.667009,0.696249
5,0.00120000,0.660448,0.591081,0.683403,0.696884
6,0.00120000,0.658005,0.617164,0.676983,0.684626
7,0.00120000,0.654245,0.601178,0.656969,0.675730
8,0.00060000,0.649052,0.610854,0.637992,0.677569
9,0.00060000,0.643103,0.601178,0.659448,0.685686
10,0.00060000,0.637754,0.615482,0.654167,0.686282
11,0.00030000,0.631482,0.609592,0.672921,0.695483
12,0.00030000,0.628376,0.611695,0.650959,0.688719
13,0.00030000,0.626483,0.620530,0.635974,0.681452
