epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.688236,0.615482,0.640570,0.678044
2,0.00120000,0.674844,0.603281,0.650353,0.680762
3,0.00120000,0.669280,0.597812,0.677091,0.700870
4,0.00120000,0.661812,0.584771,0.673847,0.701664
5,0.00120000,0.657939,0.605385,0.653568,0.673911
6,0.00120000,0.652359,0.596971,0.686028,0.700542
7,0.00120000,0.645546,0.607068,0.665865,0.692272
8,0.00120000,0.641229,0.593185,0.646957,0.673786
9,0.00048000,0.637300,0.598654,0.636392,0.673733
10,0.00048000,0.627635,0.586033,0.650380,0.677457
11,0.00048000,0.622089,0.585191,0.660867,0.683351
