epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.687778,0.588750,0.641137,0.668191
2,0.00120000,0.676757,0.588125,0.650826,0.671544
3,0.00120000,0.671211,0.591250,0.651885,0.670827
4,0.00120000,0.669602,0.600000,0.647224,0.681376
5,0.00120000,0.663681,0.603125,0.646874,0.678947
6,0.00120000,0.663622,0.590000,0.654535,0.678776
7,0.00120000,0.659388,0.588125,0.653526,0.659305
8,0.00120000,0.653227,0.595625,0.670744,0.676780
9,0.00120000,0.655283,0.578750,0.629794,0.654840
10,0.00120000,0.651327,0.596250,0.643938,0.673802
11,0.00120000,0.645692,0.587500,0.627827,0.662489
12,0.00048000,0.642310,0.604375,0.648189,0.667338
13,0.00048000,0.631548,0.590625,0.644111,0.669664
14,0.00048000,0.624393,0.600000,0.633865,0.663335
15,0.00048000,0.622074,0.571250,0.612129,0.647570
16,0.00019200,0.615563,0.583750,0.636741,0.654348
