epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.683415,0.622500,0.656107,0.687700
2,0.00120000,0.671918,0.580000,0.669260,0.692164
3,0.00120000,0.663987,0.608750,0.668945,0.686008
4,0.00120000,0.660941,0.585625,0.651979,0.687911
5,0.00120000,0.660606,0.587500,0.629228,0.659380
6,0.00048000,0.653010,0.606250,0.633912,0.664370
7,0.00048000,0.640114,0.598125,0.637819,0.655957
8,0.00048000,0.637085,0.581250,0.635821,0.652882
9,0.00048000,0.630443,0.583750,0.617399,0.642305
10,0.00019200,0.633136,0.550625,0.627589,0.643516
