epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.687515,0.595625,0.637183,0.665569
2,0.00120000,0.675000,0.591875,0.636721,0.663458
3,0.00120000,0.671985,0.590625,0.667188,0.678281
4,0.00120000,0.667951,0.595000,0.643394,0.681789
5,0.00120000,0.661786,0.605000,0.642119,0.683744
6,0.00120000,0.662907,0.592500,0.645919,0.681019
7,0.00048000,0.658458,0.576250,0.641001,0.653074
8,0.00048000,0.650198,0.605000,0.627728,0.662617
9,0.00048000,0.646964,0.587500,0.617772,0.657988
10,0.00048000,0.642674,0.601875,0.641578,0.678621
11,0.00019200,0.640791,0.588750,0.631802,0.673845
