epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20,test_pairwise_acc,test_ndcg@10,test_ndcg@20
1,0.00100000,0.656554,0.620645,0.585230,0.630441,0.661773,0.707048,0.729638
2,0.00100000,0.628144,0.634839,0.619813,0.652628,0.642200,0.716657,0.738936
3,0.00100000,0.609904,0.666912,0.627000,0.675905,0.655314,0.712593,0.727755
4,0.00100000,0.604838,0.654194,0.627322,0.659533,0.666079,0.706264,0.728078
5,0.00100000,0.589339,0.668203,0.627450,0.659760,0.658642,0.714353,0.729305
6,0.00100000,0.581551,0.671152,0.636120,0.660530,0.661578,0.720134,0.732065
7,0.00100000,0.582782,0.667465,0.626240,0.652994,0.655706,0.709913,0.724186
8,0.00100000,0.588521,0.669124,0.618389,0.644519,0.671560,0.711850,0.726723
9,0.00050000,0.577170,0.669493,0.605566,0.635419,0.667058,0.721152,0.732661
10,0.00050000,0.565853,0.670599,0.643327,0.664850,0.667841,0.727697,0.728593
11,0.00050000,0.558656,0.681290,0.619280,0.649803,0.663143,0.724899,0.733145
12,0.00050000,0.563290,0.662673,0.620549,0.650143,0.644157,0.719544,0.724495
13,0.00025000,0.559379,0.669862,0.636408,0.654202,0.671951,0.710248,0.728052
14,0.00025000,0.547356,0.673548,0.632164,0.658221,0.656293,0.717876,0.731667
15,0.00025000,0.546313,0.681290,0.616651,0.651036,0.662165,0.721006,0.731600
