epoch,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.668039,0.656208,0.677533,0.702831
2,0.650393,0.663380,0.658615,0.685827
3,0.620808,0.634245,0.646972,0.671705
4,0.596423,0.652174,0.616952,0.635307
5,0.562679,0.656656,0.560416,0.603250
6,0.543712,0.650381,0.542418,0.592249
7,0.505590,0.649933,0.590805,0.633665
8,0.503660,0.660690,0.600304,0.645632
9,0.473120,0.641865,0.599653,0.634828
10,0.451748,0.640520,0.587403,0.616052
11,0.428569,0.670551,0.597402,0.627126
12,0.421781,0.666069,0.607745,0.641882
13,0.404733,0.666965,0.584947,0.626131
14,0.395965,0.632004,0.547562,0.593935
15,0.381384,0.656656,0.572408,0.611530
16,0.363895,0.658001,0.591383,0.620788
17,0.365276,0.645899,0.592358,0.628089
18,0.345117,0.632900,0.537073,0.568575
19,0.329784,0.640520,0.547748,0.591320
20,0.321032,0.654415,0.567921,0.602195
